Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Real or Fake,Posts_Dates
_24simba,144242466,10,2853,2455,"ESTL📍 
Tennessee State🐯
DE
                         Matthews 10:28",,False,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/296415345_1095873267953646_4686883406091266431_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=bLNy7oNfXgEAX8pDUAA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_LM9YVaqq19yJl9d6P6jw3uR3Va7RsTFVm38dfK7_GaA&oe=63522EA8&_nc_sid=8fd12b,  ,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
"
Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Real or Fake,Posts_Dates
selfmade.kp_,2268645924,9,2549,2083,| 𝘕𝘶𝘱𝘦 ♦️|  Fisk Alum | God First🙏🏾,,False,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/299193582_148260754547554_7838334756187932303_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=zTVi8WMbraQAX_cL0cr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-aQq3BDlGI1Qksxv4UBl6x0GVPTbKG2LiitxXtyR4QGA&oe=6351071F&_nc_sid=8fd12b,  ,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
"
Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Real or Fake,Posts_Dates
realnovak._,6017136978,18,3069,388,"Baltimore da city 📍.                                    
Features/ Bookings: Theofficialnovak2@gmail.com",https://linktr.ee/RealNovak?utm_source=linktree_profile_share&ltsid=0d17f4aa-56a6-4c22-9a86-,False,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/301424705_786439469051472_3104001562748051195_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=pJBxoOreJoUAX9vqVig&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9WjXZi3sPtiMJopqCK89FbAYd5HaTp7LMslCJtyqD9sA&oe=63525CE5&_nc_sid=8fd12b,  ,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
"
Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Real or Fake,Posts_Dates
justtpatt_,288209869,27,1433,984,".. I don’t know , it’s still in the making 🖋",,False,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/293723563_417046020374210_360478092576681232_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Mod09f6pPUUAX8nKQIo&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9Gthd06BwXrSQFmABvoLxVgwvPmtnL4DMu2OkDbTA87w&oe=6351E455&_nc_sid=8fd12b,  ,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
"
Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Real or Fake,Posts_Dates
thetreboone,6018460975,3,1534,1443,"📍PG County
5-ΡΨ-22
Tennessee State FB",,False,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/306542411_1218554432333338_6210486850478204321_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WlztMnPhp_oAX8tQ4fi&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9HzSlFcm585EpL1tSGWWsL8HZvK5qXpwdKpkYvaH69Hw&oe=635227D6&_nc_sid=8fd12b,  ,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
"
